friendly_name,brand_and_item,sku,amount,unit,sku_quantity,price,product url
Extra Virgin Olive Oil,ShopRite,41190042906,101.4,tsp,16.9 fl. oz bottle,599,http://shop.shoprite.com/Shop.aspx?strid=333E118736
Boneless chicken breast,ShopRite,260993000009,48,oz,3 lb. family pack,897,http://shop.shoprite.com/Shop.aspx?strid=333E118736
Garlic Clove,ShopRite,41190017645,20,unit,Garlic,66,http://shop.shoprite.com/Shop.aspx?strid=333E118736
Lemon,ShopRite,000000040532,1,unit,Lemon,66,http://shop.shoprite.com/Shop.aspx?strid=333E118736
Bok Choy,ShopRite,000000045452,32,oz,Bok Choy,297,
Can Coconut Milk,ShopRite,041331021647,1,unit,13.50 ounce can,169,
Red Curry Paste,ShopRite,737628003006,4,oz,4.00 ounce jar,369,
Pearled Barley,Goya,041331024945,96,tsp,,129,
Salmon Filet,ShopRite,298500000006,16,oz,1.0 lb. salmon filet,799,
Rice Flour,Bob's Red Mill,039978003164,144,tsp,,199,
Celery,ShopRite,000000040709,6,unit,Celery,169
Scallions,ShopRite,000000040686,6,unit,Scallions,50
Ginger,ShopRite,000000046121,1,unit,Ginger,299
Cilantro,ShopRite,000000048897,1,unit,Cilantro Bunch
